"country","neighbors"
"St Vincent & the Grenadines",""
"Sudan","Central African Rep, Chad, Egypt, Eritrea, Ethiopia, Libya, South Sudan, Abyei"
"Suriname","Brazil, France, Guyana"
"Swaziland","Mozambique, South Africa"
"Sweden","Norway, Finland"
"Switzerland","Austria, France, Germany, Italy, Liechtenstein"
"Syria","Jordan, Iraq, Lebanon, Turkey, Israel"
"Taiwan",""
"Tajikistan","Afghanistan, China, Kyrgyzstan, Turkmenistan, Uzbekistan"
"Tanzania","Congo, Dem Rep of the, Burundi, Mozambique, Kenya, Malawi, Rwanda, Uganda, Zambia"
"Thailand","Cambodia, Laos, Malaysia, Burma"
"Timor-Leste","Indonesia"
"Togo","Burkina Faso, Ghana, Benin, Koualou"
"Tuvalu",""
"Uganda","Congo, Dem Rep of the, Kenya, Rwanda, South Sudan, Tanzania"
"Uruguay","Argentina, Brazil, Isla Brasilera"
"Uzbekistan","Afghanistan, Kazakhstan, Kyrgyzstan, Turkmenistan, Tajikistan"
"Vanuatu",""
"Vatican City","Italy"
"Venezuela","Colombia, Brazil, Guyana"
"Vietnam","Cambodia, China, Laos"
"Zambia","Angola, Botswana, Congo, Dem Rep of the, Mozambique, Namibia, Malawi, Tanzania, Zimbabwe"
"Zimbabwe","Botswana, Mozambique, South Africa, Zambia"
"Yemen","Oman, Saudi Arabia"
"Ukraine","Belarus, Hungary, Moldova, Poland, Romania, Russia, Slovakia"
"Bahrain",""
"Kuwait","Iraq, Saudi Arabia"
"Qatar","Saudi Arabia"
"United Arab Emirates","Oman, Saudi Arabia"
"Turkey","Armenia, Azerbaijan, Bulgaria, Georgia, Greece, Iran, Iraq, Syria"
"Israel","Egypt, Jordan, Lebanon, Syria, Gaza Strip, No Man's Land, West Bank"
"Bangladesh","Nepal, Burma, India"
"Burma","China, Laos, Thailand, Bangladesh, India"
"India","Bhutan, China, Nepal, Pakistan, Bangladesh, Burma, Aksai Chin, CH-IN, Demchok, Kalapani, Siachen-Saltoro"
"Benin","Burkina Faso, Togo, Niger, Nigeria, Koualou"
"Niger","Algeria, Burkina Faso, Chad, Libya, Mali, Benin, Nigeria"
"Nigeria","Cameroon, Chad, Benin, Niger"
"Abyei","South Sudan, Sudan"
"Aksai Chin","China, India, Siachen-Saltoro"
"CH-IN","China, India"
"Demchok","China, India"
"Dragonja","Croatia, Slovenia"
"Dramana-Shakatoe","Bhutan, China"
"Falkland Islands (UK)",""
"Gaza Strip","Egypt, Israel"
"Kalapani","China, Nepal, India"
"Isla Brasilera","Argentina, Brazil, Uruguay"
"Siachen-Saltoro","China, Pakistan, India, Aksai Chin"
"Koualou","Burkina Faso, Togo, Benin"
"Liancourt Rocks",""
"No Man's Land","Israel, West Bank"
"Paracel Is",""
"Sanafir & Tiran Is.",""
"Senkakus",""
"Spratly Is",""
"West Bank","Jordan, Israel, No Man's Land"
"Western Sahara","Algeria, Morocco, Mauritania"
